@dataValueAttribs							
precip	0	9999	mm				
@dataSetAttribs							
missingDataVal	-9999						
dataStart	01.01.1987 00:00						
dataEnd	31.12.1990 00:00						
tres	d						
@statAttribVal							
name	Station 1	Station 2	Station 3	Station 4	Station 5	Station 6 	Station 7
02.04.1987 00:00	0.97161059	1.294328849	0.963676253	1.057988538	0.304460888	3.101735977	4.918334033
03.04.1987 00:00	0	0	0	0	0	0	0
04.04.1987 00:00	0	0	0	0	0	0	0
05.04.1987 00:00	0	0	0	0	0	0	0
06.04.1987 00:00	0	0	0	0	0	0	0
07.04.1987 00:00	0	0	0	0	0	0	0
08.04.1987 00:00	0	0	0	0	0	0	0
09.04.1987 00:00	33.75372148	41.66100908	33.84382789	7.789161232	5.425858804	15.6570785	10.45224778
10.04.1987 00:00	0.530268988	0.703489673	0.559592825	0	0	0.12117073	0
11.04.1987 00:00	0.340403454	0.428525391	0.34610506	0	0	0.076700764	0
12.04.1987 00:00	0	0	0	0	0	0	0
13.04.1987 00:00	0	0	0	0	0	0	0
14.04.1987 00:00	0	0	0	0	0	0	0
15.04.1987 00:00	0	0	0	0	0	0	0
16.04.1987 00:00	0	0	0	0	0	0	0
17.04.1987 00:00	2.870138702	3.463899119	2.789095761	0	0	0.656390586	0
18.04.1987 00:00	2.627112076	3.116712907	2.650532556	0	0	0.651002578	0
19.04.1987 00:00	0.445810038	0.017892628	0.411172624	2.043276582	1.521575583	5.053662027	8.093517192
20.04.1987 00:00	0	0	0	0	0	0	0
21.04.1987 00:00	0	0	0	0	0	0	0
22.04.1987 00:00	0	0	0	0	0	0	0
23.04.1987 00:00	13.72325479	16.6511747	13.62315302	11.38680878	3.55048628	54.8788985	78.01421486
24.04.1987 00:00	3.064805951	0.104109585	2.503327623	10.62585984	3.507832355	2.082410916	3.144461158
25.04.1987 00:00	0	0	0	1.037354802	0.336134256	0	3.41E-04
26.04.1987 00:00	3.031754632	4.221465196	3.180063598	0	0	0.730606669	0
27.04.1987 00:00	2.403493988	1.773117073	2.853054728	8.053256461	10.23838232	31.98342389	43.27505737
28.04.1987 00:00	1.301033253	0.675437065	1.22839501	3.262503889	1.061400813	1.600576622	2.329538268
29.04.1987 00:00	0.147116932	0.00642549	0.184491139	2.511308571	1.892788752	4.223573426	7.289040748
30.04.1987 00:00	6.81019317	8.243419551	6.423245626	2.50027857	6.509955419	52.30820098	82.46102011
01.05.1987 00:00	1.811172161	0.747700721	1.757608094	4.926230161	4.63202403	1.01682995	9.88E-04
02.05.1987 00:00	1.813837646	1.480897697	1.679467103	2.478869526	1.879005825	5.643923671	8.174078908
03.05.1987 00:00	9.565690141	11.63024526	10.27183677	2.155595696	1.379490308	2.559388602	6.48E-04
04.05.1987 00:00	17.46293502	20.61841194	18.21368409	4.708077835	10.63581199	29.20919502	39.21421984
05.05.1987 00:00	11.8026996	10.68180813	12.39631867	14.98912504	10.99954265	3.459393628	0.00203955
06.05.1987 00:00	6.287475121	5.768347521	6.63581351	5.552376872	5.975260035	12.56702464	18.61662678
07.05.1987 00:00	0.863836132	0.032560648	0.684125122	3.132505287	0.915981241	0	0
08.05.1987 00:00	0.106849713	0.003824372	0.081396395	0.360099965	0.114076124	0	0
09.05.1987 00:00	0	0	0	0	0	0	0
10.05.1987 00:00	0	0	0	0	0	0	0
11.05.1987 00:00	0	0	0	0	0	0	0
12.05.1987 00:00	0	0	0	0	0	0	0
13.05.1987 00:00	0	0	0	0	0	0	0
14.05.1987 00:00	0	0	0	0	0	0	0
15.05.1987 00:00	0	0	0	0	0	0	0
16.05.1987 00:00	0	0	0	0	0	0	0
17.05.1987 00:00	0	0	0	0	0	0	0
18.05.1987 00:00	0	0	0	0	0	0	0
19.05.1987 00:00	0	0	0	0	0	0	0
20.05.1987 00:00	0	0	0	0	0	0	0
21.05.1987 00:00	0	0	0	0	0	0	0
22.05.1987 00:00	0	0	0	3.042501158	0.767414973	0	8.77E-04
23.05.1987 00:00	1.747936388	0.063884071	1.817476404	5.483960731	5.79096212	49.08127165	68.24380085
24.05.1987 00:00	0	0	0	0	0	0	0
25.05.1987 00:00	0	0	0	0	0	0	0
26.05.1987 00:00	0	0	0	0	0	0	0
27.05.1987 00:00	0	0	0	0	0	0	0
28.05.1987 00:00	0	0	0	1.390594715	0.437365045	0	4.27E-04
29.05.1987 00:00	3.477551135	3.63636228	3.917321825	1.276206801	4.798181619	2.262235386	8.02E-04
30.05.1987 00:00	2.338708416	2.848576429	2.434148331	0.713751798	0.221307446	0.461623328	0
31.05.1987 00:00	0.573182493	0.021007151	0.582246336	1.708877648	2.313925672	3.852532747	4.757137411
01.06.1987 00:00	2.348291834	1.151516694	2.152825734	5.332142521	4.176867467	7.811777481	10.49612353
02.06.1987 00:00	11.81506586	14.22772957	12.82214254	5.609903609	9.337159437	35.06212125	46.35978082
03.06.1987 00:00	1.145328463	0.047684605	1.662203932	4.43692096	9.382603357	17.40781744	22.41036073
04.06.1987 00:00	9.804920158	11.44589637	10.61861337	7.831466931	6.369522756	5.153416972	3.40768864
05.06.1987 00:00	9.905225508	9.470244931	9.795935958	8.561314571	11.51273986	15.86620859	20.11228218
06.06.1987 00:00	0.790789039	0.02624169	0.643413489	2.837246915	0.834787114	2.392407439	3.900819377
07.06.1987 00:00	0.345481886	0.011533092	0.268165731	1.219968963	0.415306889	15.51064985	26.43387142
08.06.1987 00:00	5.123855228	6.201110029	5.148691244	1.366867443	3.111549966	2.101028428	4.47E-04
09.06.1987 00:00	6.818219615	6.071911459	6.798043418	6.216784912	2.699070542	9.800614373	14.93192388
10.06.1987 00:00	7.650921096	6.08147002	8.791815035	9.832307035	21.00895371	16.16935997	18.46139213
11.06.1987 00:00	1.815106395	2.411382957	1.919984243	1.661650214	0.531180971	0.433932526	5.36E-04
12.06.1987 00:00	0.587268697	0.805625713	0.632796966	0	0	0.13346358	0
13.06.1987 00:00	3.323650936	3.941008049	3.107252652	0.651010986	0.216985587	0.755060498	0
14.06.1987 00:00	1.226742218	0.042274163	1.069214453	4.534246091	1.46219827	0	0
15.06.1987 00:00	2.375996195	0.089480938	2.186479477	8.404087024	5.775289877	4.593682899	5.520934432
16.06.1987 00:00	1.23928214	0.051607493	1.665575431	2.565193953	9.096080696	5.383091513	3.33743841
17.06.1987 00:00	11.93352088	14.14795909	11.23510317	5.997177753	1.747468403	2.607999691	0.001772314
18.06.1987 00:00	0.886526511	0.399103063	0.915262678	1.732965775	2.674571968	0.675815394	4.01E-04
19.06.1987 00:00	1.221175375	0.831761779	1.383730272	1.600418714	3.960221023	1.168544581	6.87E-04
20.06.1987 00:00	11.37879851	10.19166797	10.49324067	15.25247929	5.57724907	1.642513845	4.87E-04
21.06.1987 00:00	8.262489107	7.141961968	9.2605439	11.91282527	19.52648755	23.05201748	25.88868071
22.06.1987 00:00	15.43614473	14.77402693	14.18734128	11.02400461	11.24576402	9.819388985	6.411274528
23.06.1987 00:00	18.63037418	20.90106802	17.01232395	10.83238732	6.857610031	15.94033069	17.47369663
24.06.1987 00:00	48.13108781	54.10869114	47.27462614	11.81079738	14.79752306	28.06603058	26.18607145
25.06.1987 00:00	43.14957557	49.28553204	40.14626644	14.66196157	21.62188503	16.59400929	5.500170912
26.06.1987 00:00	5.215391476	6.568919781	4.990208208	1.256347724	2.477329148	1.801742299	4.17E-04
27.06.1987 00:00	5.946708623	7.606351205	5.508941817	0	0	10.08503379	15.68841477
28.06.1987 00:00	9.339750863	11.02173021	8.643114675	1.493997886	0.91401072	2.370304841	9.79E-05
