@dataValueAttribs				
precip	0	9999	mm	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1987 00:00			
dataEnd	31.12.1990 00:00	
tres	d			
@statAttribVal				
name	Station 4	Station 5	Station 6 	Station 7
ID	4	5	6	7
elevation	2956	1966	3264	1796
x	448716	467466	491716	475841
y	3041343	3039374	3038875	3025970
dataColumn	4	5	6	
@dataVal				
02.04.1987 00:00	100	84.75443938	100	77.17800428
03.04.1987 00:00	41.66896229	31.42365316	48.80029607	28.13005383
04.04.1987 00:00	56.01456716	44.27925732	62.76279627	36.2688783
05.04.1987 00:00	54.96066105	44.03381479	60.90809138	40.48952136
06.04.1987 00:00	66.85212491	51.29934712	81.55301902	47.03561373
07.04.1987 00:00	91.65136566	63.80310292	100	68.68592571
08.04.1987 00:00	100	84.29246996	100	83.29650476
09.04.1987 00:00	100	80.80570483	100	66.94554801
10.04.1987 00:00	87.43938036	71.43890826	100	56.48681392
11.04.1987 00:00	75.26111038	50.40887356	83.12270634	52.09013755
12.04.1987 00:00	40.71349957	27.89134053	52.92849048	26.24672154
13.04.1987 00:00	37.79349046	25.85569291	46.65088913	26.92753633
14.04.1987 00:00	42.52067482	32.23073985	52.35413143	30.87736931
15.04.1987 00:00	41.17978003	27.75346959	44.90218863	26.88459699
16.04.1987 00:00	61.38559926	49.53767015	74.03105166	43.65063284
17.04.1987 00:00	78.30712598	57.00145302	86.99807955	55.74831957
18.04.1987 00:00	90.96947528	70.3109955	100	58.04612749
19.04.1987 00:00	81.51754365	56.89139741	90.57367759	46.67145453
20.04.1987 00:00	100	73.57768701	100	68.91469248
21.04.1987 00:00	100	66.36140923	100	66.75589267
22.04.1987 00:00	100	85.43291713	100	88.08393315
23.04.1987 00:00	100	69.57726139	100	73.11230484
24.04.1987 00:00	100	72.66613319	100	66.79138868
25.04.1987 00:00	77.38507774	52.29034304	87.48271678	56.3288825
26.04.1987 00:00	100	100	100	95.82644367
27.04.1987 00:00	100	74.67774345	100	75.58294611
28.04.1987 00:00	100	88.78703416	100	81.07088275
29.04.1987 00:00	100	81.72962227	100	85.26162159
30.04.1987 00:00	100	97.61247216	100	82.58279696
01.05.1987 00:00	100	83.31191891	100	87.79826501
02.05.1987 00:00	100	74.74918498	100	74.69308883
03.05.1987 00:00	100	100	100	100
04.05.1987 00:00	100	81.86023076	100	79.31396337
05.05.1987 00:00	100	74.98556242	100	74.98866032
06.05.1987 00:00	100	100	100	95.73346399
07.05.1987 00:00	100	85.56079885	100	85.53586739
08.05.1987 00:00	100	90.81829877	100	86.49922174
09.05.1987 00:00	100	75.09694316	100	76.36516756
10.05.1987 00:00	96.96551114	79.45948526	100	74.1250375
11.05.1987 00:00	68.46366717	48.63390275	75.18823586	50.51916309
12.05.1987 00:00	71.94111087	52.51163391	84.01988398	48.5633862
13.05.1987 00:00	73.29026473	48.8500404	88.52081158	47.9175308
14.05.1987 00:00	72.80960119	51.64401575	87.05307539	57.09400737
15.05.1987 00:00	67.94745884	50.98844652	73.99257469	46.10136237
16.05.1987 00:00	51.46880871	36.24135819	56.79076066	34.31018602
17.05.1987 00:00	44.16713635	35.16941678	54.50047645	29.07096395
18.05.1987 00:00	44.56155051	32.50404462	48.5329918	26.84502578
19.05.1987 00:00	49.49833004	35.71167715	47.76546404	29.49566567
20.05.1987 00:00	61.51664769	49.94905763	69.2312481	40.74247653
21.05.1987 00:00	100	88.518513	100	87.09248326
22.05.1987 00:00	100	84.75688037	100	86.24574102
23.05.1987 00:00	100	69.39545468	100	73.08692722
24.05.1987 00:00	52.7363588	31.30075514	57.41371123	29.63158771
25.05.1987 00:00	71.09466387	43.93414908	69.84474073	40.13711852
26.05.1987 00:00	58.91125743	39.58432148	72.72269754	39.3028446
27.05.1987 00:00	71.78250579	52.55966696	77.62228659	53.41352229
28.05.1987 00:00	100	69.06024535	100	79.08436627
29.05.1987 00:00	90.43552052	71.59220391	100	60.10717158
30.05.1987 00:00	100	84.94377308	100	85.00042823
31.05.1987 00:00	100	90.16740986	100	93.45107834
01.06.1987 00:00	100	81.61952023	100	81.01112508
02.06.1987 00:00	100	81.09258613	100	78.26884169
03.06.1987 00:00	100	85.76217146	100	87.2929335
04.06.1987 00:00	100	86.76611378	100	88.75336746
05.06.1987 00:00	100	85.36244947	100	82.6319399
