@dataValueAttribs				
precip	0	9999	mm	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1987 00:00			
dataEnd	31.12.1990 00:00	
tres	d			
@statAttribVal				
name	Station 4	Station 5	Station 6 	Station 7
ID	4	5	6	7
elevation	2956	1966	3264	1796
x	448716	467466	491716	475841
y	3041343	3039374	3038875	3025970
dataColumn	4	5	6	
@dataVal				
29.03.1988 00:00	60.44474905	43.57441415	79.50523186	45.39542508
30.03.1988 00:00	80.93109168	58.95860049	89.06721897	51.38288791
31.03.1988 00:00	66.53304786	45.48443085	75.32199425	44.04437417
01.04.1988 00:00	35.88466016	26.54378675	47.40289148	23.52992028
02.04.1988 00:00	37.14375534	28.30258247	41.99062977	25.08726148
03.04.1988 00:00	42.37980528	34.76870517	51.53296737	32.7365687
04.04.1988 00:00	54.52618776	43.44156692	59.05191782	38.42765412
05.04.1988 00:00	27.3921441	18.25163075	33.11196061	17.35871293
06.04.1988 00:00	37.11660703	25.00932436	44.08018852	25.10551809
07.04.1988 00:00	56.01869696	35.3369275	58.39689319	32.94048594
08.04.1988 00:00	91.09391991	54.72347664	100	61.34532949
09.04.1988 00:00	64.18931726	43.87491013	74.01953564	39.18619143
10.04.1988 00:00	50.18443978	37.58047475	53.13234513	33.97462911
11.04.1988 00:00	42.81004829	32.00174978	45.40582101	27.46917224
12.04.1988 00:00	73.26154897	52.5193785	75.96056327	46.24806247
13.04.1988 00:00	100	79.54482465	100	79.86882154
14.04.1988 00:00	90.58433659	59.15299022	97.17146573	53.89171256
15.04.1988 00:00	100	68.86969661	100	76.4643972
16.04.1988 00:00	100	70.32350828	100	76.53583322
17.04.1988 00:00	100	97.72468492	100	85.32866724
18.04.1988 00:00	100	96.01866248	100	90.69991061
19.04.1988 00:00	100	74.6494574	100	74.66880661
20.04.1988 00:00	100	75.51017342	100	76.52911472
21.04.1988 00:00	100	86.84002734	100	87.33576717
22.04.1988 00:00	100	77.19117652	100	74.2333934
23.04.1988 00:00	100	84.34066752	100	91.39825094
24.04.1988 00:00	88.33298893	63.85064438	100	65.35139049
25.04.1988 00:00	100	74.77024367	100	69.58195686
26.04.1988 00:00	100	62.63754041	100	65.86227794
27.04.1988 00:00	100	70.31617262	100	72.48190334
28.04.1988 00:00	100	86.64899113	100	86.19767352
29.04.1988 00:00	100	89.03406978	100	85.80105446
30.04.1988 00:00	88.27614132	55.69653649	89.47952913	61.68523589
01.05.1988 00:00	100	94.13680569	100	85.07560095
02.05.1988 00:00	100	82.38395532	100	72.61297341
03.05.1988 00:00	100	90.4657179	100	95.75248001
04.05.1988 00:00	100	66.66253939	100	61.9216876
05.05.1988 00:00	100	79.60014131	100	72.93816589
06.05.1988 00:00	100	72.99586308	100	79.61848544
07.05.1988 00:00	100	75.77764535	100	68.25211732
08.05.1988 00:00	100	83.98993637	100	77.47244534
09.05.1988 00:00	100	99.76967525	100	93.17385433
10.05.1988 00:00	100	79.02728576	100	73.1433908
11.05.1988 00:00	94.99151946	68.72217132	100	57.76488549
12.05.1988 00:00	100	70.42548174	100	66.90801941
13.05.1988 00:00	100	73.21385104	100	79.8599221
14.05.1988 00:00	93.31608669	65.30342885	100	58.8700783
15.05.1988 00:00	100	77.97855241	100	78.7898132
16.05.1988 00:00	100	83.5659255	100	71.11616048
17.05.1988 00:00	100	90.57570907	100	74.00400424
18.05.1988 00:00	100	83.58070018	100	81.33978271
19.05.1988 00:00	100	80.00661863	100	76.25659349
20.05.1988 00:00	100	79.70969287	100	85.67384857
21.05.1988 00:00	100	83.72978335	100	87.52667699
22.05.1988 00:00	100	100	100	97.19385476
23.05.1988 00:00	100	73.17968781	100	61.79495201
24.05.1988 00:00	99.85744258	73.4057967	100	76.50812435
25.05.1988 00:00	96.05625296	74.9576323	100	70.91993575
26.05.1988 00:00	100	94.48893059	100	84.70471898
27.05.1988 00:00	100	92.03439302	100	79.71781353
28.05.1988 00:00	100	80.17280474	100	79.32489732
29.05.1988 00:00	100	83.91912475	100	88.22894958
30.05.1988 00:00	100	92.54762695	100	96.87417736
31.05.1988 00:00	100	80.40809084	100	77.60251793
01.06.1988 00:00	100	90.13443397	100	76.71686867
02.06.1988 00:00	100	91.61150781	100	88.70361659
03.06.1988 00:00	81.26979331	61.5516987	92.39710969	57.55140442
04.06.1988 00:00	80.79626891	67.8734689	100	56.27763712
05.06.1988 00:00	100	88.76656087	100	81.35887555
06.06.1988 00:00	96.06894406	74.74815106	100	70.87764776
07.06.1988 00:00	85.10472028	72.04105799	100	59.81215747
08.06.1988 00:00	100	78.7182236	100	66.97330668
09.06.1988 00:00	100	100	100	86.94854645
10.06.1988 00:00	100	100	100	100
11.06.1988 00:00	100	100	100	93.41061173
12.06.1988 00:00	100	92.12219449	100	81.15660811
13.06.1988 00:00	100	100	100	100
14.06.1988 00:00	100	100	100	100
15.06.1988 00:00	100	100	100	100
16.06.1988 00:00	100	100	100	100
17.06.1988 00:00	100	100	100	92.95062974
18.06.1988 00:00	100	92.34520001	100	87.7982222
19.06.1988 00:00	100	98.96695466	100	96.65293452
20.06.1988 00:00	100	97.53315565	100	86.94254844
21.06.1988 00:00	100	92.28823786	100	82.12568736
22.06.1988 00:00	100	86.17980556	100	83.61035594
23.06.1988 00:00	100	100	100	91.39949365
24.06.1988 00:00	100	100	100	93.07493899
25.06.1988 00:00	100	100	100	100
26.06.1988 00:00	100	97.59327831	100	100
27.06.1988 00:00	100	91.14281884	100	81.73235246
28.06.1988 00:00	100	95.73239085	100	91.49689838
29.06.1988 00:00	100	93.74578187	100	89.26848182
30.06.1988 00:00	100	84.64573162	100	82.16164962
01.07.1988 00:00	100	93.68451533	100	98.46838209
02.07.1988 00:00	100	100	100	95.00242847
03.07.1988 00:00	100	100	100	100
04.07.1988 00:00	100	93.63858935	100	100
05.07.1988 00:00	100	100	100	88.0819607
06.07.1988 00:00	100	100	100	88.59476762
07.07.1988 00:00	100	100	100	96.76248545
08.07.1988 00:00	100	96.18467691	100	100
09.07.1988 00:00	100	100	100	100
10.07.1988 00:00	100	98.65884686	100	87.61312719
11.07.1988 00:00	100	96.69354225	100	90.49137267
12.07.1988 00:00	100	95.69110936	100	100
13.07.1988 00:00	100	100	100	87.85344174
14.07.1988 00:00	100	97.59897318	100	92.62405457
15.07.1988 00:00	100	91.37168135	100	100
16.07.1988 00:00	100	92.75766126	100	93.22821788
17.07.1988 00:00	100	100	100	98.29308991
18.07.1988 00:00	100	100	100	100
19.07.1988 00:00	100	95.21444713	100	96.36558911
20.07.1988 00:00	100	100	100	100
21.07.1988 00:00	100	97.16404072	100	94.74010551
22.07.1988 00:00	100	98.39493749	100	94.79535831
23.07.1988 00:00	100	93.02741989	100	100
24.07.1988 00:00	100	94.07257608	100	91.76164972
25.07.1988 00:00	100	99.55987112	100	88.51324716
26.07.1988 00:00	100	100	100	97.5741001
27.07.1988 00:00	100	100	100	100
28.07.1988 00:00	100	100	100	90.78551703
29.07.1988 00:00	100	100	100	92.08959218
30.07.1988 00:00	100	96.16382419	100	88.13730454
31.07.1988 00:00	100	98.09868507	100	97.28865312
01.08.1988 00:00	100	100	100	97.14172522
02.08.1988 00:00	100	100	100	86.28511606
03.08.1988 00:00	100	100	100	96.15164343
04.08.1988 00:00	100	100	100	99.02060494
05.08.1988 00:00	100	95.31334773	100	100
06.08.1988 00:00	100	100	100	95.88894082
07.08.1988 00:00	100	100	100	89.61933354
08.08.1988 00:00	100	92.02041497	100	96.09177425
09.08.1988 00:00	100	98.91394943	100	100
10.08.1988 00:00	100	100	100	98.47910549
11.08.1988 00:00	100	91.78641943	100	100
12.08.1988 00:00	100	100	100	85.33542332
13.08.1988 00:00	100	100	100	89.31385993
14.08.1988 00:00	100	100	100	85.05583554
15.08.1988 00:00	100	100	100	97.08803491
16.08.1988 00:00	100	100	100	86.51163714
17.08.1988 00:00	100	90.89306007	100	96.45695833
18.08.1988 00:00	100	91.2863063	100	92.69909223
19.08.1988 00:00	100	99.5532403	100	96.92486144
20.08.1988 00:00	100	100	100	97.5714147
21.08.1988 00:00	100	94.22249445	100	92.35261095
22.08.1988 00:00	100	94.53113697	100	94.79477282
23.08.1988 00:00	100	91.92459149	100	96.25456726
24.08.1988 00:00	100	93.9429687	100	99.70532068
25.08.1988 00:00	100	100	100	90.86168682
26.08.1988 00:00	100	89.72861956	100	95.66394712
27.08.1988 00:00	100	95.6040507	100	95.23794894
28.08.1988 00:00	100	99.9045191	100	100
29.08.1988 00:00	100	100	100	92.19622971
30.08.1988 00:00	100	100	100	100
31.08.1988 00:00	100	100	100	99.36861724
01.09.1988 00:00	100	91.75867754	100	86.11710264
02.09.1988 00:00	100	100	100	100
03.09.1988 00:00	100	98.00062995	100	100
04.09.1988 00:00	100	98.8738579	100	97.81203913
05.09.1988 00:00	100	87.59016246	100	86.80333261
06.09.1988 00:00	100	97.58077999	100	100
07.09.1988 00:00	100	100	100	91.47914626
08.09.1988 00:00	100	100	100	94.21005085
09.09.1988 00:00	100	100	100	94.95587316
10.09.1988 00:00	100	88.62109099	100	90.9603937
11.09.1988 00:00	100	96.52216914	100	94.50962131
12.09.1988 00:00	100	95.77860539	100	93.23326317
13.09.1988 00:00	100	100	100	95.7686032
14.09.1988 00:00	100	82.56033201	100	92.93790372
15.09.1988 00:00	100	100	100	92.69251696
16.09.1988 00:00	100	79.62075983	100	78.90934909
17.09.1988 00:00	100	100	100	93.79565739
18.09.1988 00:00	100	83.78451951	100	74.00612137
19.09.1988 00:00	100	79.59999291	100	73.91805508
20.09.1988 00:00	100	86.7475769	100	82.87958957
21.09.1988 00:00	100	82.29536529	100	80.99040338
22.09.1988 00:00	100	100	100	94.96086909
23.09.1988 00:00	100	100	100	87.24297588
24.09.1988 00:00	100	91.72319091	100	86.26056702
25.09.1988 00:00	100	100	100	85.88849585
26.09.1988 00:00	100	96.97844122	100	97.34124457
27.09.1988 00:00	100	97.51860118	100	86.4544057
28.09.1988 00:00	100	86.89897288	100	91.25610214
29.09.1988 00:00	100	97.99298983	100	100
30.09.1988 00:00	100	93.64315698	100	86.22513008
01.10.1988 00:00	100	85.35091306	100	84.07381242
02.10.1988 00:00	100	80.66283201	100	77.79699329
03.10.1988 00:00	100	95.20228827	100	90.61323974
04.10.1988 00:00	100	100	100	87.65399485
05.10.1988 00:00	100	97.66523736	100	100
06.10.1988 00:00	100	82.13578439	100	87.14991537
07.10.1988 00:00	100	90.54690337	100	77.99723657
08.10.1988 00:00	100	91.1404126	100	95.28591123
09.10.1988 00:00	99.10234978	70.61492047	100	63.83072709
10.10.1988 00:00	100	71.90469959	100	68.30790056
11.10.1988 00:00	100	89.04501573	100	81.90385914
12.10.1988 00:00	100	75.58273712	100	67.06536297
13.10.1988 00:00	100	74.8995489	100	64.04708235
14.10.1988 00:00	100	83.72962226	100	84.89870603
15.10.1988 00:00	100	96.63919153	100	74.9113871
16.10.1988 00:00	100	88.56335069	100	75.78448248
17.10.1988 00:00	98.17915704	73.0183676	100	66.72807101
18.10.1988 00:00	74.89031452	53.02072679	90.48312788	50.64247054
19.10.1988 00:00	100	74.5581244	100	65.11006357
20.10.1988 00:00	100	93.50894998	100	88.02870742
21.10.1988 00:00	100	79.1254394	100	78.05654264
22.10.1988 00:00	100	91.7859598	100	83.8029045
23.10.1988 00:00	100	84.12151549	100	82.88739372
24.10.1988 00:00	100	77.25296024	100	84.35195548
25.10.1988 00:00	100	78.06264109	100	66.00130767
26.10.1988 00:00	100	70.01189348	100	70.08755609
27.10.1988 00:00	100	84.64186016	100	78.22395362
28.10.1988 00:00	95.53935803	63.37882144	100	62.32304574
29.10.1988 00:00	91.54201681	69.13533627	97.54073686	61.16904116
30.10.1988 00:00	96.31267253	72.13459221	100	62.7231345
31.10.1988 00:00	100	70.9494432	100	73.10676333
01.11.1988 00:00	86.8360292	63.30624692	94.73641317	59.94838197
02.11.1988 00:00	79.11389298	50.43274449	94.68018258	48.24961518
03.11.1988 00:00	81.80915071	62.97067622	98.23299654	51.32462075
04.11.1988 00:00	100	92.46920936	100	88.66976417
05.11.1988 00:00	100	84.94171886	100	79.15486505
06.11.1988 00:00	89.58929067	70.09837234	100	66.69527974
07.11.1988 00:00	98.1061033	59.21418585	100	64.30708292
08.11.1988 00:00	100	79.59714102	100	69.63072829
09.11.1988 00:00	85.51242435	56.62579423	91.10930459	55.38773133
10.11.1988 00:00	94.58077908	63.06383356	90.4434425	60.14646544
11.11.1988 00:00	78.02708135	49.40289274	90.84122534	55.44488189
12.11.1988 00:00	78.595074	58.57483949	97.20890802	55.67205218
13.11.1988 00:00	78.8694355	57.75861553	83.78389075	49.46496792
14.11.1988 00:00	82.93279764	52.46300999	81.47999431	54.41465814
15.11.1988 00:00	100	69.28618703	100	67.69992296
16.11.1988 00:00	95.19726422	70.07897798	100	64.90729608
17.11.1988 00:00	100	77.37697635	100	80.24931927
18.11.1988 00:00	100	73.87582122	100	65.162013
19.11.1988 00:00	63.67022447	48.47792252	69.81876234	45.07550183
20.11.1988 00:00	89.42090776	62.15260348	96.14309935	56.22841079
21.11.1988 00:00	83.47646174	49.31961299	93.17068096	52.54829797
22.11.1988 00:00	94.73938026	55.40571692	100	60.60458145
23.11.1988 00:00	70.22751929	49.78836153	85.37643494	47.80363818
24.11.1988 00:00	69.81795024	54.86167293	91.14242994	48.20801805
25.11.1988 00:00	92.33745432	62.9049117	96.01366239	53.69136999
26.11.1988 00:00	100	70.08150867	100	74.54431475
27.11.1988 00:00	66.18743354	44.5527612	77.13662126	41.99299941
28.11.1988 00:00	90.57251675	65.24538814	100	54.00201408
29.11.1988 00:00	100	85.05799912	100	67.58340877
30.11.1988 00:00	100	67.42026432	100	62.62258434
01.12.1988 00:00	100	77.62499785	100	73.38803068
02.12.1988 00:00	100	72.23737579	100	68.02637104
03.12.1988 00:00	100	78.20454261	100	73.1240841
04.12.1988 00:00	100	89.27831746	100	82.95377576
05.12.1988 00:00	100	88.58583199	100	86.38737884
06.12.1988 00:00	100	86.01669671	100	88.20577686
07.12.1988 00:00	100	92.48466794	100	87.51148764
08.12.1988 00:00	100	100	100	100
09.12.1988 00:00	100	78.03524449	100	72.69952497
10.12.1988 00:00	100	68.82762281	100	74.66034119
11.12.1988 00:00	100	72.20661594	100	72.16302821
12.12.1988 00:00	100	84.08628436	100	73.86123692
13.12.1988 00:00	100	89.99763847	100	81.56008549
14.12.1988 00:00	100	77.8330193	100	78.27627588
15.12.1988 00:00	100	78.38822939	100	70.4298343
16.12.1988 00:00	100	68.76075039	100	69.6903188
17.12.1988 00:00	100	79.98762662	100	75.19827673
18.12.1988 00:00	100	77.34110544	100	70.81889401
19.12.1988 00:00	100	81.64735343	100	70.50486642
20.12.1988 00:00	100	65.47311673	100	69.23932927
21.12.1988 00:00	100	76.91359603	100	75.11812444
22.12.1988 00:00	100	71.04468279	100	71.69822119
23.12.1988 00:00	94.40110315	65.63172556	100	65.80040828
24.12.1988 00:00	100	72.24882824	100	63.41596203
25.12.1988 00:00	100	75.22678757	100	72.89544522
26.12.1988 00:00	100	98.12232167	100	85.52568069
27.12.1988 00:00	100	89.448725	100	86.25224429
28.12.1988 00:00	94.20444732	70.50150753	100	67.88375419
29.12.1988 00:00	87.70883799	64.29901049	100	53.63011028
30.12.1988 00:00	100	69.05300688	100	64.24564593
31.12.1988 00:00	100	93.77451884	100	86.29865222
01.01.1989 00:00	100	84.44577833	100	89.50091256
02.01.1989 00:00	100	85.41336955	100	80.5253826
03.01.1989 00:00	100	77.14374413	100	74.19718598
04.01.1989 00:00	100	79.16294182	100	66.06887914
05.01.1989 00:00	100	87.3425283	100	80.22771275
06.01.1989 00:00	100	86.22427948	100	82.29320121
07.01.1989 00:00	100	89.31021405	100	87.63938295
08.01.1989 00:00	100	100	100	88.23772093
09.01.1989 00:00	100	98.28681856	100	86.0821524
10.01.1989 00:00	100	84.744121	100	89.39702742
11.01.1989 00:00	100	90.41730944	100	82.42790416
12.01.1989 00:00	100	86.32644353	100	91.02746375
13.01.1989 00:00	100	71.84993678	100	61.41867717
14.01.1989 00:00	89.74873455	55.42900088	100	51.77309424
15.01.1989 00:00	100	78.44808384	100	84.93151905
16.01.1989 00:00	100	64.10578196	100	61.6051945
17.01.1989 00:00	100	89.67399266	100	85.76685341
18.01.1989 00:00	100	95.7327618	100	88.57073038
19.01.1989 00:00	100	82.6141229	100	75.49576034
20.01.1989 00:00	100	100	100	84.80332872
21.01.1989 00:00	100	83.85034692	100	71.80485285
22.01.1989 00:00	91.36179497	56.8216214	96.65377944	52.84650765
23.01.1989 00:00	100	71.35563048	100	70.95613503
24.01.1989 00:00	100	72.65871653	100	79.32672961
25.01.1989 00:00	100	65.483467	100	60.92488453
26.01.1989 00:00	100	76.50764715	100	72.92840088
27.01.1989 00:00	100	93.52271683	100	90.95609593
28.01.1989 00:00	100	96.82813408	100	76.91194236
29.01.1989 00:00	100	94.09838565	100	86.67287845
30.01.1989 00:00	100	88.15841586	100	75.78151441
31.01.1989 00:00	100	86.06164469	100	74.4654186
01.02.1989 00:00	100	82.79780439	100	77.03199373
02.02.1989 00:00	100	84.25374322	100	90.01673198
03.02.1989 00:00	100	100	100	86.37128113
04.02.1989 00:00	100	90.48866342	100	98.24607282
05.02.1989 00:00	71.20219558	44.04527754	81.20979093	48.76714925
06.02.1989 00:00	61.49182238	45.13284973	73.01561975	41.02602511
07.02.1989 00:00	52.31808184	32.89130617	59.49612834	37.19247105
08.02.1989 00:00	55.40639419	37.21843735	59.92584199	36.5765096
09.02.1989 00:00	48.17558045	33.47874206	54.83981366	31.44954491
10.02.1989 00:00	54.00358444	38.18751129	57.7859969	33.47819771
11.02.1989 00:00	65.72035071	47.07428229	70.55126999	40.13681579
12.02.1989 00:00	92.03050144	61.13317493	100	56.59135144
13.02.1989 00:00	86.13075625	60.65776625	100	62.02733585
14.02.1989 00:00	75.00308895	45.9791194	90.26205316	48.9551
15.02.1989 00:00	59.77217109	43.55418709	62.2307177	35.57703525
16.02.1989 00:00	43.37258831	29.8622764	43.43371545	23.19979876
17.02.1989 00:00	55.23415198	36.07292326	64.50792262	40.98307991
18.02.1989 00:00	100	81.26099728	100	69.10647848
19.02.1989 00:00	100	90.51755342	100	100
20.02.1989 00:00	100	83.16368791	100	73.35176192
21.02.1989 00:00	100	81.70917121	100	84.53896952
22.02.1989 00:00	72.32049792	52.41201956	79.38245217	43.36456093
23.02.1989 00:00	100	70.50749554	100	66.83139787
24.02.1989 00:00	74.36741851	50.21249156	90.9974331	49.69736974
25.02.1989 00:00	69.9673889	48.0558902	78.65970887	39.11003383
26.02.1989 00:00	52.9043795	38.29454295	58.8252225	38.27371069
27.02.1989 00:00	72.58840679	46.19981346	77.27319703	40.75549017
28.02.1989 00:00	59.87756018	40.84357984	64.39344807	37.89913957
01.03.1989 00:00	84.87387231	61.85740933	86.06853397	56.92690528
02.03.1989 00:00	59.81741561	42.0205157	59.03598722	36.91525788
03.03.1989 00:00	50.22127513	34.56972711	57.01130415	34.11526386
04.03.1989 00:00	63.37390912	44.41852168	68.10119528	41.69361878
05.03.1989 00:00	95.3650292	61.96797051	100	53.79940998
06.03.1989 00:00	85.0640032	52.66844688	85.30443793	55.78665479
07.03.1989 00:00	89.45605153	55.37554374	100	58.120247
08.03.1989 00:00	85.09014593	55.83689955	93.73977484	56.86748227
09.03.1989 00:00	65.82278785	49.78171748	80.31448213	42.42808385
10.03.1989 00:00	66.8466748	45.19364658	75.93033641	45.63517826
11.03.1989 00:00	100	81.44179586	100	83.40448837
12.03.1989 00:00	100	80.79343189	100	77.03987213
13.03.1989 00:00	100	89.92737812	100	77.62385934
14.03.1989 00:00	100	85.1208562	100	79.77489005
15.03.1989 00:00	80.93773011	58.36976195	98.73045288	59.8749744
16.03.1989 00:00	69.7728903	58.02028797	86.81829466	49.14341042
17.03.1989 00:00	87.72127521	59.97686467	90.98123463	56.7184189
18.03.1989 00:00	97.82729343	57.35839146	100	58.32821384
19.03.1989 00:00	100	80.04900427	100	82.30215407
20.03.1989 00:00	100	100	100	95.71961829
21.03.1989 00:00	100	61.25000795	100	62.82197239
22.03.1989 00:00	89.37021576	63.71751767	100	61.43165565
23.03.1989 00:00	69.07496075	54.04244697	88.67300129	45.64347465
24.03.1989 00:00	50.18864346	29.28725206	50.3085649	32.56845816
25.03.1989 00:00	70.65932014	48.17226698	81.5953733	43.54211482
26.03.1989 00:00	48.82998033	35.10681346	61.01587041	29.40464887
27.03.1989 00:00	59.81237634	47.10317171	78.57648697	45.33352136
28.03.1989 00:00	74.14788956	60.09913841	83.96564574	54.57652416
29.03.1989 00:00	100	81.81584447	100	75.08707841
30.03.1989 00:00	100	82.73097635	100	80.93996341
31.03.1989 00:00	100	79.52919145	100	68.50534581
01.04.1989 00:00	100	70.9053529	97.94693598	58.33987484
02.04.1989 00:00	70.2005286	49.99418852	78.94319451	50.53607185
03.04.1989 00:00	34.21716588	23.35033476	36.77601989	20.83696364
04.04.1989 00:00	49.29276016	31.12279855	50.57793036	29.16362252
05.04.1989 00:00	38.2019379	26.68324576	43.3866791	22.59865815
06.04.1989 00:00	50.21245478	36.16221643	60.38283472	33.22680235
07.04.1989 00:00	63.22779564	42.2562523	74.12485284	38.7726031
08.04.1989 00:00	65.79171652	42.44599798	73.64178894	42.91948809
09.04.1989 00:00	54.91097321	39.9488313	64.28668106	41.88474978
10.04.1989 00:00	95.89381421	67.75813408	96.22581441	56.60457385
11.04.1989 00:00	62.51138534	36.66975805	64.12716398	40.5058937
12.04.1989 00:00	54.86349315	34.96960133	53.92100165	33.73579141
13.04.1989 00:00	41.32083451	28.78011251	41.07731728	22.72796813
14.04.1989 00:00	36.30996624	25.7950588	40.15826055	25.40861838
15.04.1989 00:00	51.8682541	32.9333376	58.03351969	37.64659761
16.04.1989 00:00	42.75531342	30.21220371	53.06753088	27.42992987
17.04.1989 00:00	25.78496657	19.13544523	30.30275952	17.20164806
18.04.1989 00:00	30.44151094	24.37209178	40.72691574	20.02669394
19.04.1989 00:00	28.30635961	20.72769884	35.30257949	20.05872043
20.04.1989 00:00	17.64362826	10.93798398	17.61381992	9.970384679
21.04.1989 00:00	15.94994152	12.70954429	20.62960594	10.55449622
22.04.1989 00:00	23.27180485	15.78918574	25.07806642	13.25250532
23.04.1989 00:00	49.49305047	28.79861718	52.17555014	28.08054513
24.04.1989 00:00	64.95706001	48.55558322	83.30338645	46.21215948
25.04.1989 00:00	41.52826216	31.34722642	52.11093761	26.76129049
26.04.1989 00:00	53.37038308	37.16783731	57.80820926	36.51979145
27.04.1989 00:00	69.58674367	45.39157619	72.24793708	43.10085641
28.04.1989 00:00	60.09502663	48.04704953	71.62238037	40.76884165
29.04.1989 00:00	28.85048149	20.55984837	35.13932227	19.83162575
30.04.1989 00:00	58.77544515	43.45493584	65.79749387	36.95941459
01.05.1989 00:00	91.35478451	67.79555915	100	61.27659234
02.05.1989 00:00	97.2692232	63.9963981	100	60.34792776
03.05.1989 00:00	92.30425228	69.95313546	99.76789192	60.09497709
04.05.1989 00:00	100	71.27641179	100	72.64246244
05.05.1989 00:00	76.50380881	50.23588841	78.69251124	51.42960275
06.05.1989 00:00	36.88072425	26.7851412	46.72891512	25.60020878
07.05.1989 00:00	19.32202253	15.13006894	22.21037808	15.06849226
08.05.1989 00:00	21.09851347	12.33158522	19.70532968	13.02392115
09.05.1989 00:00	19.49021345	13.81262445	22.10589071	14.90586763
10.05.1989 00:00	26.3821249	17.91215366	31.95695914	17.92657101
11.05.1989 00:00	58.32321749	44.36505123	67.32920414	44.30333062
12.05.1989 00:00	100	73.19408593	100	72.37560319
13.05.1989 00:00	85.78373141	62.29883772	95.00949061	62.02874309
14.05.1989 00:00	100	86.44671145	100	84.37342786
15.05.1989 00:00	89.43414479	60.81424082	100	62.63935565
16.05.1989 00:00	100	89.45753576	100	79.0304412
17.05.1989 00:00	100	76.85949848	100	67.65747886
18.05.1989 00:00	100	100	100	92.55601382
19.05.1989 00:00	100	95.36722586	100	88.08558614
20.05.1989 00:00	100	100	100	94.26882492
21.05.1989 00:00	100	85.88563154	100	79.48485565
22.05.1989 00:00	100	98.29602703	100	85.93307737
23.05.1989 00:00	100	97.37401788	100	85.61525515
24.05.1989 00:00	99.61971804	68.53341407	100	73.2985949
25.05.1989 00:00	100	92.79920888	100	100
26.05.1989 00:00	100	100	100	96.73701083
27.05.1989 00:00	100	100	100	96.21894903
28.05.1989 00:00	100	100	100	100
29.05.1989 00:00	100	88.43083828	100	85.82460225
30.05.1989 00:00	100	79.79846194	100	78.72110113
31.05.1989 00:00	100	80.3654462	100	78.28301914
01.06.1989 00:00	100	80.45481561	100	87.13958816
02.06.1989 00:00	100	87.59664585	100	84.32249815
03.06.1989 00:00	100	98.08056681	100	94.64115023
04.06.1989 00:00	100	94.44592754	100	81.82637492
05.06.1989 00:00	100	90.22737799	100	94.95496112
06.06.1989 00:00	100	96.35327315	100	82.22289982
07.06.1989 00:00	100	78.22851563	100	82.54211313
08.06.1989 00:00	100	82.90954892	100	82.66368411
09.06.1989 00:00	88.90937268	69.91628068	100	67.84895846
10.06.1989 00:00	100	100	100	92.2177639
11.06.1989 00:00	100	91.24872744	100	92.37499604
12.06.1989 00:00	100	87.37093875	100	75.04049871
13.06.1989 00:00	100	89.21001754	100	94.78491646
14.06.1989 00:00	100	100	100	92.82276839
15.06.1989 00:00	100	96.97779536	100	100
16.06.1989 00:00	100	94.97066117	100	88.06149256
17.06.1989 00:00	100	100	100	87.98928448
18.06.1989 00:00	100	91.17225523	100	85.57365791
19.06.1989 00:00	100	99.688855	100	84.80162578
20.06.1989 00:00	100	100	100	94.25488643
21.06.1989 00:00	100	100	100	91.23039427
22.06.1989 00:00	100	94.4625769	100	81.15883977
23.06.1989 00:00	100	98.54136215	100	88.44862491
24.06.1989 00:00	100	85.91692243	100	89.28155007
25.06.1989 00:00	100	97.17005868	100	81.71238322
26.06.1989 00:00	100	100	100	84.69893776
27.06.1989 00:00	100	100	100	87.44091136
28.06.1989 00:00	100	87.71807806	100	89.68742664
29.06.1989 00:00	100	94.88617789	100	100
30.06.1989 00:00	100	100	100	94.85806645
01.07.1989 00:00	100	100	100	100
02.07.1989 00:00	100	100	100	91.81649914
03.07.1989 00:00	100	100	100	96.34081581
04.07.1989 00:00	100	100	100	91.61553475
05.07.1989 00:00	100	100	100	98.81078353
06.07.1989 00:00	100	100	100	100
07.07.1989 00:00	100	92.6646057	100	89.76643456
08.07.1989 00:00	100	100	100	92.07139325
09.07.1989 00:00	100	95.67401061	100	94.31751339
10.07.1989 00:00	100	96.74783656	100	93.24471155
11.07.1989 00:00	100	100	100	95.36782851
12.07.1989 00:00	100	100	100	100
13.07.1989 00:00	100	99.08756101	100	99.25122733
14.07.1989 00:00	100	100	100	95.51566812
15.07.1989 00:00	100	100	100	89.18446336
16.07.1989 00:00	100	100	100	93.83100211
17.07.1989 00:00	100	100	100	100
18.07.1989 00:00	100	100	100	100
19.07.1989 00:00	100	100	100	98.26566701
20.07.1989 00:00	100	92.38059527	100	94.24493311
21.07.1989 00:00	100	100	100	92.31519977
22.07.1989 00:00	100	100	100	91.22129595
23.07.1989 00:00	100	95.23004802	100	88.38303503
24.07.1989 00:00	100	85.65974685	100	90.66592069
25.07.1989 00:00	100	89.06287087	100	99.66045859
26.07.1989 00:00	100	92.83358677	100	95.31966325
27.07.1989 00:00	100	94.53236418	100	100
28.07.1989 00:00	100	100	100	99.5724391
29.07.1989 00:00	100	100	100	100
30.07.1989 00:00	100	100	100	94.45265405
31.07.1989 00:00	100	100	100	100
01.08.1989 00:00	100	96.99895515	100	100
02.08.1989 00:00	100	100	100	81.98845967
03.08.1989 00:00	100	95.23456625	100	75.27950377
04.08.1989 00:00	100	85.69973404	100	94.44930516
